Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-28,Atlanta,Cleveland,130,123,Atlanta,STATUS_FINAL
2025-11-28,Brooklyn,Philadelphia,103,115,Philadelphia,STATUS_FINAL
2025-11-28,Charlotte,Chicago,123,116,Charlotte,STATUS_FINAL
2025-11-28,Detroit,Orlando,109,112,Orlando,STATUS_FINAL
2025-11-28,Indiana,Washington,119,86,Indiana,STATUS_FINAL
2025-11-28,New York,Milwaukee,118,109,New York,STATUS_FINAL
2025-11-28,Oklahoma City,Phoenix,123,119,Oklahoma City,STATUS_FINAL
2025-11-28,Denver,San Antonio,136,139,San Antonio,STATUS_FINAL
2025-11-28,Utah,Sacramento,128,119,Utah,STATUS_FINAL
2025-11-28,Los Angeles,Dallas,129,119,Los Angeles,STATUS_FINAL
2025-11-28,LA,Memphis,107,112,Memphis,STATUS_FINAL
